district_id,state_id,district_name,sites_total,sites_govt,sites_pvt,sessions_total,sessions_govt,sessions_pvt,total_vaccination,male_vaccination,female_vaccination,other_vaccination,18_30_vaccination,30_45_vaccination,45_60_vaccination,60+_vaccination,covishield,covaxin,dose1,dose2,aefi
659,34,Jalaun,95,95,0,15150,15150,0,106189,60825,45353,11,,,51954,45551,119631,8963,106189,22405,8
390,21,Jalgaon,33,21,12,3780,1930,1850,408434,222358,186046,30,,,176548,162373,472699,52553,408434,116818,7
396,21,Jalna,57,57,0,8880,8880,0,241843,130804,111002,37,,,91659,97461,244041,48481,241843,50679,100
533,29,Jalore,70,70,0,12550,12550,0,263919,140686,123162,71,,,101295,129899,324423,3023,263919,63527,1
722,36,Jalpaiguri,42,41,1,13652,13552,100,173429,100810,72588,31,,,75632,52125,202571,35055,173429,64197,25
230,14,Jammu,47,43,4,16400,16000,400,461038,256362,204593,83,,,220246,168016,572867,19248,461038,131077,29
169,11,Jamnagar,114,113,1,19300,17300,2000,200377,113664,86686,27,,,78314,80137,258632,9398,200377,67653,140
773,11,Jamnagar Corporation,41,41,0,8170,8170,0,154861,83452,71385,24,,,51014,40367,182116,20227,154861,47482,114
259,15,Jamtara,57,57,0,8770,8770,0,83246,43501,39739,6,,,30876,31476,94642,5474,83246,16870,14
107,5,Jamui,32,32,0,5680,5680,0,133742,71817,61900,25,,,41722,60195,160677,0,133742,26935,1
585,32,Jangaon,13,13,0,1750,1750,0,55688,25852,29829,7,,,26729,25409,64288,8102,55688,16702,4
121,7,Janjgir-Champa,189,187,2,28450,28250,200,274454,130962,143473,19,,,144361,115276,317259,9550,274454,52355,8
122,7,Jashpur,178,177,1,26015,25915,100,169190,77625,91539,26,,,93604,60745,198573,5760,169190,35143,31
660,34,Jaunpur,110,108,2,22805,22605,200,248908,136026,112829,53,,,110373,120676,279328,40639,248908,71059,18
586,32,Jayashankar Bhupalpally,15,15,0,4371,4371,0,74145,35452,38677,16,,,39911,30146,61202,22003,74145,9060,8
91,5,Jehanabad,23,23,0,6970,6970,0,89155,48761,40363,31,,,30512,31219,99733,4931,89155,15509,2
340,20,Jhabua,25,25,0,4260,4260,0,63933,31596,32331,6,,,23762,21831,77220,4263,63933,17550,1
189,12,Jhajjar,37,37,0,7643,7643,0,165511,86541,78935,35,,,64093,64231,173708,28135,165511,36332,5
515,29,Jhalawar,25,25,0,4970,4970,0,245789,128335,117423,31,,,85596,119718,297031,3141,245789,54383,18
661,34,Jhansi,78,75,3,17142,16842,300,161243,95365,65836,42,,,57689,45744,179677,24763,161243,43197,17
723,36,Jhargram,34,34,0,5770,5770,0,72000,46082,25913,5,,,26363,20202,91929,19437,72000,39366,3
474,26,Jharsuguda,16,14,2,1940,1740,200,77591,43151,34436,4,,,38150,32125,102852,0,77591,25261,6
510,29,Jhunjhunu,97,96,1,14560,14460,100,474150,231871,242210,69,,,189598,225915,573189,22657,474150,121696,11
204,12,Jind,24,24,0,4600,4600,0,154005,79520,74463,22,,,58808,60918,170570,2286,154005,18851,15
410,22,Jiribam,2,2,0,450,450,0,5113,3574,1539,0,,,1875,646,6813,0,5113,1700,1
502,29,Jodhpur,92,85,7,13910,13210,700,693825,375280,318456,89,,,289914,270797,783140,83166,693825,172481,15
587,32,Jogulamba Gadwal,11,11,0,1300,1300,0,50296,25520,24765,11,,,28335,17897,52985,6924,50296,9613,7
54,4,Jorhat,17,17,0,1993,1993,0,113711,61742,51949,20,,,50827,34318,119923,21185,113711,27397,29
178,11,Junagadh,56,56,0,12210,12210,0,204562,105977,98563,22,,,103638,81659,249657,9379,204562,54474,14
774,11,Junagadh Corporation,6,6,0,780,780,0,65136,34244,30885,7,,,29501,24341,88070,5581,65136,28515,3
80,5,Kaimur,14,14,0,4000,4000,0,121790,66483,55285,22,,,40403,50420,142489,0,121790,20699,1
190,12,Kaithal,48,46,2,7851,7651,200,142256,74104,68136,16,,,46940,54593,146225,20941,142256,24910,23
413,22,Kakching,7,7,0,1806,1806,0,19430,10335,9089,6,,,9146,6021,22153,0,19430,2723,1
464,26,Kalahandi,45,45,0,7900,7900,0,185850,95257,90571,22,,,82191,86700,233729,0,185850,47879,3
724,36,Kalimpong,9,9,0,1460,1460,0,58609,29983,28619,7,,,28469,22005,76213,11049,58609,28653,14
552,31,Kallakurichi,63,60,3,8740,8440,300,56811,29568,27238,5,,,24681,18089,69606,4986,56811,17781,3
588,32,Kamareddy,56,56,0,8500,8500,0,143164,66972,76164,28,,,80044,53541,163002,15003,143164,34841,3
409,22,Kamjong,3,3,0,450,450,0,3428,2063,1365,0,,,1014,437,3965,0,3428,537,0
24,3,Kamle,1,1,0,100,100,0,2240,1213,1027,0,,,1108,400,2777,0,2240,537,1
49,4,Kamrup Metropolitan,124,120,4,16140,15540,600,414235,233835,180313,87,,,147321,80624,424053,69779,414235,79597,18
50,4,Kamrup Rural,60,55,5,18240,17740,500,207105,111820,95250,35,,,97986,58884,228426,26647,207105,47968,8
557,31,Kanchipuram,57,53,4,16800,16400,400,65819,36814,28996,9,,,30431,18556,77436,9805,65819,21422,2
450,26,Kandhamal,10,10,0,2520,2520,0,96889,45824,51052,13,,,42094,44044,120433,0,96889,23544,4
408,22,Kangpokpi,3,3,0,550,550,0,9583,4988,4594,1,,,4224,1997,11800,0,9583,2217,0
213,13,Kangra,101,99,2,19850,19550,300,419168,200572,218523,73,,,205263,178009,505693,0,419168,86525,75
123,7,Kanker,53,53,0,15135,15135,0,155074,77865,77195,14,,,82922,50990,188377,6711,155074,40014,23
662,34,Kannauj,70,69,1,16340,16240,100,64631,38049,26558,24,,,30052,25738,79727,5120,64631,20216,6
297,17,Kannur,30,29,1,4160,4060,100,488642,222818,265753,71,,,197443,240114,595168,44135,488642,150661,716
663,34,Kanpur Dehat,31,29,2,6498,6298,200,100328,58637,41661,30,,,49922,41631,118098,10201,100328,27971,6
664,34,Kanpur Nagar,133,127,6,22250,21420,830,438987,254168,184743,76,,,171762,136262,473783,60077,438987,94873,11
544,31,Kanyakumari,55,45,10,14200,13200,1000,119182,60199,58967,16,,,45773,38268,145985,13078,119182,39881,4
479,28,Kapurthala,19,19,0,3570,3570,0,106115,58385,47711,19,,,52773,39533,113705,11270,106115,18860,18
476,27,Karaikal,14,14,0,6300,6300,0,23737,11992,11740,5,,,11524,8452,28263,0,23737,4526,8
