district_id,state_id,district_name,sites_total,sites_govt,sites_pvt,sessions_total,sessions_govt,sessions_pvt,total_vaccination,male_vaccination,female_vaccination,other_vaccination,18_45_vaccination,45_60_vaccination,60+_vaccination,covishield,covaxin,dose1,dose2,aefi
362,20,Betul,45,45,0,14285,14285,0,205092,112225,92842,25,57580,79825,67632,215371,27727,205092,38006,10
687,34,Bhadohi,44,44,0,5821,5821,0,126662,69285,57344,33,14780,64777,47083,136809,17708,126662,27855,9
583,32,Bhadradri Kothagudem,50,48,2,7172,6772,400,124919,67337,57566,16,18634,72480,33790,135068,32117,124919,42266,8
454,26,Bhadrak,26,25,1,7890,7390,500,204294,110239,94016,39,12500,94278,97462,249333,0,204294,45039,15
82,5,Bhagalpur,85,85,0,8960,8960,0,319045,173430,145561,54,98461,95097,125453,355974,22877,319045,59806,14
370,21,Bhandara,118,118,0,25100,25100,0,223030,110437,112574,19,29262,92128,101635,140801,159700,223030,77471,3
508,29,Bharatpur,125,125,0,19480,19480,0,499551,268504,230957,90,102342,190676,206482,559561,22587,499551,82597,17
180,11,Bharuch,49,45,4,15170,14350,820,364660,203266,161342,52,122702,148678,93202,428806,41010,364660,105156,54
175,11,Bhavnagar,47,47,0,14300,14300,0,294646,161270,133339,37,59765,133641,101176,349076,28426,294646,82856,7
771,11,Bhavnagar Corporation,30,30,0,6000,6000,0,194311,105897,88390,24,94812,56017,43304,250000,8987,194311,64676,2
523,29,Bhilwara,140,139,1,29071,28071,1000,504336,254530,249705,101,105188,190976,208049,566024,24456,504336,86144,8
351,20,Bhind,39,39,0,16170,16170,0,191229,113894,77280,55,59967,67673,63524,198491,20737,191229,27999,20
200,12,Bhiwani,127,127,0,15900,15900,0,197436,103717,93686,33,48938,69102,79344,202672,25196,197436,30432,4
99,5,Bhojpur,27,27,0,7930,7930,0,219725,124994,94701,30,66366,73857,79350,263863,0,219725,44138,9
312,20,Bhopal,211,210,1,44770,44370,400,809920,455528,354225,167,406150,247796,155640,838064,126271,809920,154415,184
272,16,Bidar,211,211,0,97122,97122,0,296958,155509,141411,38,87075,122279,87566,340605,30897,296958,74544,20
115,7,Bijapur,50,50,0,6000,6000,0,53401,30946,22445,10,17214,27618,8566,70361,1880,53401,18840,24
639,34,Bijnour,120,120,0,24270,24270,0,257532,139280,118215,37,27612,139897,89878,278598,43691,257532,64757,46
501,29,Bikaner,92,92,0,12090,12090,0,536913,290590,246236,87,124156,234974,177688,622223,72267,536913,157577,13
116,7,Bilaspur,103,102,1,22350,22340,10,344378,167831,176494,53,30436,193677,120233,407149,12876,344378,75647,31
219,13,Bilaspur,2,2,0,400,400,0,137297,67163,70113,21,13604,64908,58770,172551,0,137297,35254,20
713,36,Birbhum,63,63,0,14773,14773,0,289518,159723,129749,46,64925,132398,92159,334539,42203,289518,87224,4
