label,startdate,enddate,district_id,state_id,district_name,total,18_45_vaccination,45_60_vaccination,60+_vaccination,dose1,dose2
16 Jan-22 Jan,16-01-2021,22-01-2021,582,32,Adilabad,2822,1922,778,122,2822,0
23 Jan-29 Jan,23-01-2021,29-01-2021,582,32,Adilabad,405,315,61,29,405,0
30 Jan-05 Feb,30-01-2021,05-02-2021,582,32,Adilabad,166,153,12,1,166,0
06 Feb-12 Feb,06-02-2021,12-02-2021,582,32,Adilabad,1568,1111,450,7,1568,0
13 Feb-19 Feb,13-02-2021,19-02-2021,582,32,Adilabad,1709,1183,473,53,44,1665
20 Feb-26 Feb,20-02-2021,26-02-2021,582,32,Adilabad,506,414,67,25,190,316
27 Feb-05 Mar,27-02-2021,05-03-2021,582,32,Adilabad,561,181,147,233,438,123
06 Mar-12 Mar,06-03-2021,12-03-2021,582,32,Adilabad,2103,774,798,531,1140,963
13 Mar-19 Mar,13-03-2021,19-03-2021,582,32,Adilabad,2032,309,879,844,1746,286
20 Mar-26 Mar,20-03-2021,26-03-2021,582,32,Adilabad,2471,266,1048,1157,2398,73
27 Mar-02 Apr,27-03-2021,02-04-2021,582,32,Adilabad,2968,320,1423,1225,2722,246
03 Apr-09 Apr,03-04-2021,09-04-2021,582,32,Adilabad,6053,215,3422,2416,5548,505
10 Apr-16 Apr,10-04-2021,16-04-2021,582,32,Adilabad,12664,1070,7148,4446,11603,1061
17 Apr-23 Apr,17-04-2021,23-04-2021,582,32,Adilabad,8830,429,5309,3092,7695,1135
24 Apr-30 Apr,24-04-2021,30-04-2021,582,32,Adilabad,9005,462,5726,2817,7435,1570
01 May-07 May,01-05-2021,07-05-2021,582,32,Adilabad,3444,222,2146,1076,1643,1801
08 May-14 May,08-05-2021,14-05-2021,582,32,Adilabad,3530,257,1931,1342,66,3464
22 May-28 May,22-05-2021,28-05-2021,582,32,Adilabad,2385,618,1285,482,516,1869
29 May-04 Jun,29-05-2021,04-06-2021,582,32,Adilabad,2176,1183,726,267,1277,899
05 Jun-11 Jun,05-06-2021,11-06-2021,582,32,Adilabad,1562,1337,176,49,1514,48
16 Jan-22 Jan,16-01-2021,22-01-2021,320,20,Agar,646,492,141,13,646,0
23 Jan-29 Jan,23-01-2021,29-01-2021,320,20,Agar,1112,813,259,40,1112,0
30 Jan-05 Feb,30-01-2021,05-02-2021,320,20,Agar,257,185,59,13,257,0
06 Feb-12 Feb,06-02-2021,12-02-2021,320,20,Agar,1345,891,397,57,1345,0
13 Feb-19 Feb,13-02-2021,19-02-2021,320,20,Agar,471,315,127,29,470,1
20 Feb-26 Feb,20-02-2021,26-02-2021,320,20,Agar,902,664,210,28,253,649
27 Feb-05 Mar,27-02-2021,05-03-2021,320,20,Agar,657,345,144,168,267,390
06 Mar-12 Mar,06-03-2021,12-03-2021,320,20,Agar,1726,511,406,809,1136,590
13 Mar-19 Mar,13-03-2021,19-03-2021,320,20,Agar,5720,742,1089,3889,4829,891
20 Mar-26 Mar,20-03-2021,26-03-2021,320,20,Agar,5257,309,954,3994,4916,341
27 Mar-02 Apr,27-03-2021,02-04-2021,320,20,Agar,4041,109,2264,1668,3875,166
03 Apr-09 Apr,03-04-2021,09-04-2021,320,20,Agar,6885,102,4667,2116,6646,239
10 Apr-16 Apr,10-04-2021,16-04-2021,320,20,Agar,9771,124,6073,3574,9274,497
17 Apr-23 Apr,17-04-2021,23-04-2021,320,20,Agar,3731,111,2075,1545,2935,796
24 Apr-30 Apr,24-04-2021,30-04-2021,320,20,Agar,1775,133,822,820,826,949
01 May-07 May,01-05-2021,07-05-2021,320,20,Agar,2977,419,1185,1373,915,2062
08 May-14 May,08-05-2021,14-05-2021,320,20,Agar,2814,913,990,911,1371,1443
15 May-21 May,15-05-2021,21-05-2021,320,20,Agar,3646,2777,660,209,3325,321
22 May-28 May,22-05-2021,28-05-2021,320,20,Agar,6721,5566,916,239,6672,49
29 May-04 Jun,29-05-2021,04-06-2021,320,20,Agar,9512,8221,1003,288,9369,143
05 Jun-11 Jun,05-06-2021,11-06-2021,320,20,Agar,3132,2839,235,58,3038,94
16 Jan-22 Jan,16-01-2021,22-01-2021,622,34,Agra,2040,1380,598,62,2040,0
23 Jan-29 Jan,23-01-2021,29-01-2021,622,34,Agra,6327,4449,1540,338,6327,0
30 Jan-05 Feb,30-01-2021,05-02-2021,622,34,Agra,4192,2804,1265,123,4192,0
06 Feb-12 Feb,06-02-2021,12-02-2021,622,34,Agra,4333,2498,1806,29,4333,0
13 Feb-19 Feb,13-02-2021,19-02-2021,622,34,Agra,6302,4018,2093,191,4580,1722
20 Feb-26 Feb,20-02-2021,26-02-2021,622,34,Agra,10085,6892,2827,366,4888,5197
27 Feb-05 Mar,27-02-2021,05-03-2021,622,34,Agra,7339,2267,1640,3432,4917,2422
06 Mar-12 Mar,06-03-2021,12-03-2021,622,34,Agra,16991,2189,3305,11497,15030,1961
13 Mar-19 Mar,13-03-2021,19-03-2021,622,34,Agra,27285,4433,6703,16149,22429,4856
20 Mar-26 Mar,20-03-2021,26-03-2021,622,34,Agra,26331,4370,7327,14634,22531,3800
27 Mar-02 Apr,27-03-2021,02-04-2021,622,34,Agra,21856,1541,10928,9387,19821,2035
03 Apr-09 Apr,03-04-2021,09-04-2021,622,34,Agra,39456,1899,22310,15247,33801,5655
10 Apr-16 Apr,10-04-2021,16-04-2021,622,34,Agra,50894,1339,29102,20453,40879,10015
17 Apr-23 Apr,17-04-2021,23-04-2021,622,34,Agra,26911,1882,12888,12141,15465,11446
24 Apr-30 Apr,24-04-2021,30-04-2021,622,34,Agra,24658,1315,12439,10903,13670,10988
01 May-07 May,01-05-2021,07-05-2021,622,34,Agra,20048,1388,11244,7415,8470,11578
08 May-14 May,08-05-2021,14-05-2021,622,34,Agra,34425,17163,10778,6484,24101,10324
15 May-21 May,15-05-2021,21-05-2021,622,34,Agra,47088,33891,9660,3537,44392,2696
22 May-28 May,22-05-2021,28-05-2021,622,34,Agra,67252,54154,9711,3387,65704,1548
29 May-04 Jun,29-05-2021,04-06-2021,622,34,Agra,65942,47493,13498,4951,64454,1488
05 Jun-11 Jun,05-06-2021,11-06-2021,622,34,Agra,11414,7076,3246,1092,10953,461
16 Jan-22 Jan,16-01-2021,22-01-2021,154,11,Ahmedabad,1038,736,265,37,1038,0
23 Jan-29 Jan,23-01-2021,29-01-2021,154,11,Ahmedabad,3821,2654,1110,57,3821,0
30 Jan-05 Feb,30-01-2021,05-02-2021,154,11,Ahmedabad,4608,3565,1010,33,4608,0
06 Feb-12 Feb,06-02-2021,12-02-2021,154,11,Ahmedabad,10930,7412,3483,35,10930,0
13 Feb-19 Feb,13-02-2021,19-02-2021,154,11,Ahmedabad,1696,1127,527,42,794,902
20 Feb-26 Feb,20-02-2021,26-02-2021,154,11,Ahmedabad,3661,2547,1065,49,135,3526
27 Feb-05 Mar,27-02-2021,05-03-2021,154,11,Ahmedabad,7810,2443,1500,3867,4999,2811
06 Mar-12 Mar,06-03-2021,12-03-2021,154,11,Ahmedabad,11433,3253,3420,4760,6661,4772
13 Mar-19 Mar,13-03-2021,19-03-2021,154,11,Ahmedabad,29314,1984,7778,19552,27089,2225
20 Mar-26 Mar,20-03-2021,26-03-2021,154,11,Ahmedabad,63935,1308,11937,50690,63014,921
27 Mar-02 Apr,27-03-2021,02-04-2021,154,11,Ahmedabad,57095,2414,23955,30726,55393,1702
03 Apr-09 Apr,03-04-2021,09-04-2021,154,11,Ahmedabad,78887,1224,63012,14651,75888,2999
10 Apr-16 Apr,10-04-2021,16-04-2021,154,11,Ahmedabad,50033,1444,37376,11213,45642,4391
17 Apr-23 Apr,17-04-2021,23-04-2021,154,11,Ahmedabad,33950,1438,19283,13229,20568,13382
24 Apr-30 Apr,24-04-2021,30-04-2021,154,11,Ahmedabad,26504,1799,12305,12400,10369,16135
01 May-07 May,01-05-2021,07-05-2021,154,11,Ahmedabad,16676,1279,10593,4804,9140,7536
08 May-14 May,08-05-2021,14-05-2021,154,11,Ahmedabad,23376,1197,14027,8152,7004,16372
15 May-21 May,15-05-2021,21-05-2021,154,11,Ahmedabad,1823,98,1305,420,1687,136
22 May-28 May,22-05-2021,28-05-2021,154,11,Ahmedabad,13466,1504,6955,5007,6679,6787
29 May-04 Jun,29-05-2021,04-06-2021,154,11,Ahmedabad,21382,9096,8367,3919,15051,6331
05 Jun-11 Jun,05-06-2021,11-06-2021,154,11,Ahmedabad,13699,12119,1119,461,12698,1001
16 Jan-22 Jan,16-01-2021,22-01-2021,770,11,Ahmedabad Corporation,5030,3645,1123,262,5030,0
23 Jan-29 Jan,23-01-2021,29-01-2021,770,11,Ahmedabad Corporation,16344,12114,3179,1051,16344,0
30 Jan-05 Feb,30-01-2021,05-02-2021,770,11,Ahmedabad Corporation,24824,18051,5534,1239,24824,0
06 Feb-12 Feb,06-02-2021,12-02-2021,770,11,Ahmedabad Corporation,39005,27302,10819,884,39005,0
13 Feb-19 Feb,13-02-2021,19-02-2021,770,11,Ahmedabad Corporation,10880,7803,2801,276,7822,3058
20 Feb-26 Feb,20-02-2021,26-02-2021,770,11,Ahmedabad Corporation,13694,10039,2686,969,2248,11446
27 Feb-05 Mar,27-02-2021,05-03-2021,770,11,Ahmedabad Corporation,44113,12839,7153,24121,28142,15971
06 Mar-12 Mar,06-03-2021,12-03-2021,770,11,Ahmedabad Corporation,67315,13378,11488,42449,51855,15460
13 Mar-19 Mar,13-03-2021,19-03-2021,770,11,Ahmedabad Corporation,90749,20048,17762,52939,69975,20774
20 Mar-26 Mar,20-03-2021,26-03-2021,770,11,Ahmedabad Corporation,95352,19113,26498,49741,86905,8447
27 Mar-02 Apr,27-03-2021,02-04-2021,770,11,Ahmedabad Corporation,159508,39301,76711,43496,150066,9442
03 Apr-09 Apr,03-04-2021,09-04-2021,770,11,Ahmedabad Corporation,175009,15481,103568,55960,152508,22501
10 Apr-16 Apr,10-04-2021,16-04-2021,770,11,Ahmedabad Corporation,125160,15989,60963,48208,88890,36270
17 Apr-23 Apr,17-04-2021,23-04-2021,770,11,Ahmedabad Corporation,105135,20139,38540,46456,57540,47595
24 Apr-30 Apr,24-04-2021,30-04-2021,770,11,Ahmedabad Corporation,161469,29245,69952,62271,76116,85353
01 May-07 May,01-05-2021,07-05-2021,770,11,Ahmedabad Corporation,172890,88324,54816,29748,111696,61194
08 May-14 May,08-05-2021,14-05-2021,770,11,Ahmedabad Corporation,152226,66942,55548,29736,89663,62563
15 May-21 May,15-05-2021,21-05-2021,770,11,Ahmedabad Corporation,50272,39741,7490,3041,49727,545
22 May-28 May,22-05-2021,28-05-2021,770,11,Ahmedabad Corporation,217718,185943,22929,8846,215833,1885
29 May-04 Jun,29-05-2021,04-06-2021,770,11,Ahmedabad Corporation,268774,228637,28810,11327,264811,3963
05 Jun-11 Jun,05-06-2021,11-06-2021,770,11,Ahmedabad Corporation,74963,64132,8086,2745,74012,951
16 Jan-22 Jan,16-01-2021,22-01-2021,391,21,Ahmednagar,2776,2052,608,116,2776,0
23 Jan-29 Jan,23-01-2021,29-01-2021,391,21,Ahmednagar,5926,4254,1424,248,5926,0
30 Jan-05 Feb,30-01-2021,05-02-2021,391,21,Ahmednagar,7312,5661,1511,140,7312,0
06 Feb-12 Feb,06-02-2021,12-02-2021,391,21,Ahmednagar,7533,4970,2357,206,7533,0
13 Feb-19 Feb,13-02-2021,19-02-2021,391,21,Ahmednagar,6232,4087,1971,174,5396,836
20 Feb-26 Feb,20-02-2021,26-02-2021,391,21,Ahmednagar,7677,5327,2043,307,3626,4051
27 Feb-05 Mar,27-02-2021,05-03-2021,391,21,Ahmednagar,8560,4500,1838,2222,4544,4016
06 Mar-12 Mar,06-03-2021,12-03-2021,391,21,Ahmednagar,33016,6767,6547,19702,27463,5553
13 Mar-19 Mar,13-03-2021,19-03-2021,391,21,Ahmednagar,51428,7355,11598,32475,46254,5174
20 Mar-26 Mar,20-03-2021,26-03-2021,391,21,Ahmednagar,46182,5873,10978,29331,42459,3723
27 Mar-02 Apr,27-03-2021,02-04-2021,391,21,Ahmednagar,33028,4302,12601,16125,31207,1821
03 Apr-09 Apr,03-04-2021,09-04-2021,391,21,Ahmednagar,66409,2500,38455,25454,62616,3793
10 Apr-16 Apr,10-04-2021,16-04-2021,391,21,Ahmednagar,58147,3563,33656,20927,51090,7057
17 Apr-23 Apr,17-04-2021,23-04-2021,391,21,Ahmednagar,54762,4114,27521,23127,38129,16633
24 Apr-30 Apr,24-04-2021,30-04-2021,391,21,Ahmednagar,60511,4827,27236,28447,39232,21279
01 May-07 May,01-05-2021,07-05-2021,391,21,Ahmednagar,45214,14125,14050,17039,27759,17455
08 May-14 May,08-05-2021,14-05-2021,391,21,Ahmednagar,58179,12325,19582,26272,25754,32425
15 May-21 May,15-05-2021,21-05-2021,391,21,Ahmednagar,27072,3931,12824,10317,17584,9488
22 May-28 May,22-05-2021,28-05-2021,391,21,Ahmednagar,46698,6620,22558,17520,40970,5728
29 May-04 Jun,29-05-2021,04-06-2021,391,21,Ahmednagar,46166,5450,22867,17849,36595,9571
05 Jun-11 Jun,05-06-2021,11-06-2021,391,21,Ahmednagar,5763,1303,2488,1972,3899,1864
16 Jan-22 Jan,16-01-2021,22-01-2021,425,24,Aizawl East,1058,837,207,14,1058,0
23 Jan-29 Jan,23-01-2021,29-01-2021,425,24,Aizawl East,1292,850,419,23,1292,0
30 Jan-05 Feb,30-01-2021,05-02-2021,425,24,Aizawl East,491,326,157,8,491,0
06 Feb-12 Feb,06-02-2021,12-02-2021,425,24,Aizawl East,566,344,199,23,566,0
13 Feb-19 Feb,13-02-2021,19-02-2021,425,24,Aizawl East,1905,1374,499,32,1111,794
20 Feb-26 Feb,20-02-2021,26-02-2021,425,24,Aizawl East,2464,1569,865,30,1270,1194
27 Feb-05 Mar,27-02-2021,05-03-2021,425,24,Aizawl East,3043,1718,859,466,2315,728
06 Mar-12 Mar,06-03-2021,12-03-2021,425,24,Aizawl East,3427,701,395,2331,3179,248
13 Mar-19 Mar,13-03-2021,19-03-2021,425,24,Aizawl East,1210,723,409,78,231,979
20 Mar-26 Mar,20-03-2021,26-03-2021,425,24,Aizawl East,678,333,233,112,232,446
27 Mar-02 Apr,27-03-2021,02-04-2021,425,24,Aizawl East,993,389,424,180,338,655
03 Apr-09 Apr,03-04-2021,09-04-2021,425,24,Aizawl East,6742,901,3420,2421,5341,1401
10 Apr-16 Apr,10-04-2021,16-04-2021,425,24,Aizawl East,13229,1041,5985,6203,10755,2474
17 Apr-23 Apr,17-04-2021,23-04-2021,425,24,Aizawl East,18679,1489,11170,6020,17728,951
24 Apr-30 Apr,24-04-2021,30-04-2021,425,24,Aizawl East,12135,1878,6539,3718,11284,851
01 May-07 May,01-05-2021,07-05-2021,425,24,Aizawl East,4807,1498,2051,1258,4365,442
08 May-14 May,08-05-2021,14-05-2021,425,24,Aizawl East,3647,532,1937,1178,1782,1865
15 May-21 May,15-05-2021,21-05-2021,425,24,Aizawl East,4337,3822,421,94,4325,12
22 May-28 May,22-05-2021,28-05-2021,425,24,Aizawl East,2454,2132,240,82,2428,26
29 May-04 Jun,29-05-2021,04-06-2021,425,24,Aizawl East,2686,2131,428,127,2621,65
05 Jun-11 Jun,05-06-2021,11-06-2021,425,24,Aizawl East,572,572,0,0,572,0
16 Jan-22 Jan,16-01-2021,22-01-2021,426,24,Aizawl West,547,421,96,30,547,0
23 Jan-29 Jan,23-01-2021,29-01-2021,426,24,Aizawl West,1306,1027,213,66,1306,0
30 Jan-05 Feb,30-01-2021,05-02-2021,426,24,Aizawl West,339,321,17,1,339,0
06 Feb-12 Feb,06-02-2021,12-02-2021,426,24,Aizawl West,32,28,3,1,32,0
13 Feb-19 Feb,13-02-2021,19-02-2021,426,24,Aizawl West,527,435,81,11,89,438
20 Feb-26 Feb,20-02-2021,26-02-2021,426,24,Aizawl West,1592,929,615,48,1418,174
27 Feb-05 Mar,27-02-2021,05-03-2021,426,24,Aizawl West,3048,1581,456,1011,1688,1360
06 Mar-12 Mar,06-03-2021,12-03-2021,426,24,Aizawl West,861,140,162,559,833,28
13 Mar-19 Mar,13-03-2021,19-03-2021,426,24,Aizawl West,1769,463,67,1239,1745,24
20 Mar-26 Mar,20-03-2021,26-03-2021,426,24,Aizawl West,188,114,46,28,187,1
27 Mar-02 Apr,27-03-2021,02-04-2021,426,24,Aizawl West,8,1,6,1,8,0
03 Apr-09 Apr,03-04-2021,09-04-2021,426,24,Aizawl West,2493,420,1652,421,1726,767
10 Apr-16 Apr,10-04-2021,16-04-2021,426,24,Aizawl West,15537,734,9320,5483,14095,1442
17 Apr-23 Apr,17-04-2021,23-04-2021,426,24,Aizawl West,11218,804,6467,3947,9637,1581
24 Apr-30 Apr,24-04-2021,30-04-2021,426,24,Aizawl West,6543,729,3504,2310,5257,1286
01 May-07 May,01-05-2021,07-05-2021,426,24,Aizawl West,4040,397,2601,1042,3603,437
08 May-14 May,08-05-2021,14-05-2021,426,24,Aizawl West,346,118,193,35,167,179
15 May-21 May,15-05-2021,21-05-2021,426,24,Aizawl West,2405,2204,161,40,2405,0
22 May-28 May,22-05-2021,28-05-2021,426,24,Aizawl West,2424,1997,325,102,2418,6
29 May-04 Jun,29-05-2021,04-06-2021,426,24,Aizawl West,2682,2363,256,63,2679,3
05 Jun-11 Jun,05-06-2021,11-06-2021,426,24,Aizawl West,295,294,1,0,295,0
16 Jan-22 Jan,16-01-2021,22-01-2021,507,29,Ajmer,2415,1705,621,89,2415,0
23 Jan-29 Jan,23-01-2021,29-01-2021,507,29,Ajmer,12216,8875,2997,344,12216,0
30 Jan-05 Feb,30-01-2021,05-02-2021,507,29,Ajmer,3985,2973,942,70,3985,0
06 Feb-12 Feb,06-02-2021,12-02-2021,507,29,Ajmer,7817,5736,2020,61,7817,0
13 Feb-19 Feb,13-02-2021,19-02-2021,507,29,Ajmer,6499,4547,1860,92,5096,1403
20 Feb-26 Feb,20-02-2021,26-02-2021,507,29,Ajmer,10738,7779,2661,298,786,9952
27 Feb-05 Mar,27-02-2021,05-03-2021,507,29,Ajmer,30993,2292,2758,25943,28674,2319
06 Mar-12 Mar,06-03-2021,12-03-2021,507,29,Ajmer,31703,5767,4746,21190,24596,7107
13 Mar-19 Mar,13-03-2021,19-03-2021,507,29,Ajmer,65177,5933,9883,49361,58663,6514
20 Mar-26 Mar,20-03-2021,26-03-2021,507,29,Ajmer,43082,2243,6823,34016,41815,1267
27 Mar-02 Apr,27-03-2021,02-04-2021,507,29,Ajmer,55947,1320,22948,31679,47949,7998
03 Apr-09 Apr,03-04-2021,09-04-2021,507,29,Ajmer,118841,917,81651,36273,103925,14916
10 Apr-16 Apr,10-04-2021,16-04-2021,507,29,Ajmer,41016,399,26708,13909,34238,6778
17 Apr-23 Apr,17-04-2021,23-04-2021,507,29,Ajmer,70331,1119,35435,33777,40963,29368
24 Apr-30 Apr,24-04-2021,30-04-2021,507,29,Ajmer,49960,1698,24764,23498,27879,22081
01 May-07 May,01-05-2021,07-05-2021,507,29,Ajmer,44381,17275,17465,9640,25942,18439
08 May-14 May,08-05-2021,14-05-2021,507,29,Ajmer,39887,16461,16376,7050,23577,16310
15 May-21 May,15-05-2021,21-05-2021,507,29,Ajmer,35630,24850,8720,2060,32298,3332
22 May-28 May,22-05-2021,28-05-2021,507,29,Ajmer,38076,22865,11969,3242,32144,5932
29 May-04 Jun,29-05-2021,04-06-2021,507,29,Ajmer,26064,4601,16471,4992,19081,6983
05 Jun-11 Jun,05-06-2021,11-06-2021,507,29,Ajmer,6201,120,4629,1452,4620,1581
16 Jan-22 Jan,16-01-2021,22-01-2021,364,21,Akola,800,480,268,52,800,0
23 Jan-29 Jan,23-01-2021,29-01-2021,364,21,Akola,1855,1051,686,118,1855,0
30 Jan-05 Feb,30-01-2021,05-02-2021,364,21,Akola,1674,1074,510,90,1674,0
06 Feb-12 Feb,06-02-2021,12-02-2021,364,21,Akola,3881,2206,1564,111,3881,0
13 Feb-19 Feb,13-02-2021,19-02-2021,364,21,Akola,3063,1819,1169,75,2745,318
20 Feb-26 Feb,20-02-2021,26-02-2021,364,21,Akola,2669,1535,1009,125,1420,1249
27 Feb-05 Mar,27-02-2021,05-03-2021,364,21,Akola,3498,646,726,2126,3046,452
06 Mar-12 Mar,06-03-2021,12-03-2021,364,21,Akola,13901,2105,2905,8891,12120,1781
13 Mar-19 Mar,13-03-2021,19-03-2021,364,21,Akola,15944,2617,3701,9626,13143,2801
20 Mar-26 Mar,20-03-2021,26-03-2021,364,21,Akola,16840,2021,3524,11295,15301,1539
27 Mar-02 Apr,27-03-2021,02-04-2021,364,21,Akola,15593,1162,6226,8205,14636,957
03 Apr-09 Apr,03-04-2021,09-04-2021,364,21,Akola,36201,759,20613,14829,32574,3627
10 Apr-16 Apr,10-04-2021,16-04-2021,364,21,Akola,20016,761,10726,8529,15279,4737
17 Apr-23 Apr,17-04-2021,23-04-2021,364,21,Akola,24779,1422,12414,10943,16944,7835
24 Apr-30 Apr,24-04-2021,30-04-2021,364,21,Akola,32136,1848,15734,14554,21588,10548
01 May-07 May,01-05-2021,07-05-2021,364,21,Akola,19822,9207,5506,5109,14025,5797
08 May-14 May,08-05-2021,14-05-2021,364,21,Akola,30167,10371,10016,9780,17838,12329
15 May-21 May,15-05-2021,21-05-2021,364,21,Akola,18825,617,11379,6829,13185,5640
22 May-28 May,22-05-2021,28-05-2021,364,21,Akola,20817,928,12856,7033,18701,2116
29 May-04 Jun,29-05-2021,04-06-2021,364,21,Akola,24101,1622,13480,8999,17434,6667
05 Jun-11 Jun,05-06-2021,11-06-2021,364,21,Akola,4199,782,2086,1331,3333,866
16 Jan-22 Jan,16-01-2021,22-01-2021,301,17,Alappuzha,3121,1596,1438,87,3121,0
23 Jan-29 Jan,23-01-2021,29-01-2021,301,17,Alappuzha,5669,2943,2448,278,5669,0
30 Jan-05 Feb,30-01-2021,05-02-2021,301,17,Alappuzha,6909,4426,2090,393,6909,0
06 Feb-12 Feb,06-02-2021,12-02-2021,301,17,Alappuzha,2592,1445,1067,80,2592,0
13 Feb-19 Feb,13-02-2021,19-02-2021,301,17,Alappuzha,4764,2627,2047,90,2258,2506
20 Feb-26 Feb,20-02-2021,26-02-2021,301,17,Alappuzha,9472,4822,4340,310,4480,4992
27 Feb-05 Mar,27-02-2021,05-03-2021,301,17,Alappuzha,21554,9386,8939,3229,18469,3085
06 Mar-12 Mar,06-03-2021,12-03-2021,301,17,Alappuzha,46636,8165,7408,31063,41805,4831
13 Mar-19 Mar,13-03-2021,19-03-2021,301,17,Alappuzha,56328,3592,5121,47615,53629,2699
20 Mar-26 Mar,20-03-2021,26-03-2021,301,17,Alappuzha,53074,2549,4418,46107,50995,2079
27 Mar-02 Apr,27-03-2021,02-04-2021,301,17,Alappuzha,51201,1632,11735,37834,49091,2110
03 Apr-09 Apr,03-04-2021,09-04-2021,301,17,Alappuzha,54709,1233,32596,20880,49913,4796
10 Apr-16 Apr,10-04-2021,16-04-2021,301,17,Alappuzha,79303,3114,46440,29749,68339,10964
17 Apr-23 Apr,17-04-2021,23-04-2021,301,17,Alappuzha,32444,3948,15507,12989,17209,15235
24 Apr-30 Apr,24-04-2021,30-04-2021,301,17,Alappuzha,60924,5254,22355,33315,25472,35452
01 May-07 May,01-05-2021,07-05-2021,301,17,Alappuzha,41341,2580,7425,31336,6681,34660
08 May-14 May,08-05-2021,14-05-2021,301,17,Alappuzha,22268,1254,5111,15903,6279,15989
15 May-21 May,15-05-2021,21-05-2021,301,17,Alappuzha,27735,1473,14704,11558,25609,2126
22 May-28 May,22-05-2021,28-05-2021,301,17,Alappuzha,29585,8413,12451,8721,29431,154
29 May-04 Jun,29-05-2021,04-06-2021,301,17,Alappuzha,49222,17138,18563,13521,46541,2681
05 Jun-11 Jun,05-06-2021,11-06-2021,301,17,Alappuzha,11231,4814,3911,2506,10177,1054
16 Jan-22 Jan,16-01-2021,22-01-2021,623,34,Aligarh,1491,907,546,38,1491,0
23 Jan-29 Jan,23-01-2021,29-01-2021,623,34,Aligarh,5211,3459,1616,136,5211,0
30 Jan-05 Feb,30-01-2021,05-02-2021,623,34,Aligarh,2796,1744,883,169,2796,0
06 Feb-12 Feb,06-02-2021,12-02-2021,623,34,Aligarh,2838,1895,927,16,2838,0
13 Feb-19 Feb,13-02-2021,19-02-2021,623,34,Aligarh,4789,2931,1745,113,3491,1298
20 Feb-26 Feb,20-02-2021,26-02-2021,623,34,Aligarh,7926,5181,2627,118,3645,4281
27 Feb-05 Mar,27-02-2021,05-03-2021,623,34,Aligarh,4081,1663,1048,1370,1733,2348
06 Mar-12 Mar,06-03-2021,12-03-2021,623,34,Aligarh,13415,1465,3222,8728,12093,1322
13 Mar-19 Mar,13-03-2021,19-03-2021,623,34,Aligarh,26898,3108,8403,15387,23944,2954
20 Mar-26 Mar,20-03-2021,26-03-2021,623,34,Aligarh,20353,2497,6776,11080,17694,2659
27 Mar-02 Apr,27-03-2021,02-04-2021,623,34,Aligarh,7858,356,4147,3355,7349,509
03 Apr-09 Apr,03-04-2021,09-04-2021,623,34,Aligarh,29111,725,17078,11308,25523,3588
10 Apr-16 Apr,10-04-2021,16-04-2021,623,34,Aligarh,34420,1017,18534,14869,24734,9686
17 Apr-23 Apr,17-04-2021,23-04-2021,623,34,Aligarh,19168,1320,9539,8309,10678,8490
24 Apr-30 Apr,24-04-2021,30-04-2021,623,34,Aligarh,17913,1862,8715,7336,10372,7541
01 May-07 May,01-05-2021,07-05-2021,623,34,Aligarh,12909,935,7272,4702,5952,6957
08 May-14 May,08-05-2021,14-05-2021,623,34,Aligarh,25127,14259,6744,4124,19537,5590
15 May-21 May,15-05-2021,21-05-2021,623,34,Aligarh,38093,28709,6709,2675,35301,2792
22 May-28 May,22-05-2021,28-05-2021,623,34,Aligarh,48873,36286,8898,3689,45654,3219
29 May-04 Jun,29-05-2021,04-06-2021,623,34,Aligarh,51730,43234,6002,2494,49590,2140
05 Jun-11 Jun,05-06-2021,11-06-2021,623,34,Aligarh,7358,5613,1277,468,7083,275
16 Jan-22 Jan,16-01-2021,22-01-2021,710,36,Alipurduar District,1522,877,566,79,1522,0
23 Jan-29 Jan,23-01-2021,29-01-2021,710,36,Alipurduar District,2722,1511,1056,155,2722,0
30 Jan-05 Feb,30-01-2021,05-02-2021,710,36,Alipurduar District,1590,922,577,91,1590,0
06 Feb-12 Feb,06-02-2021,12-02-2021,710,36,Alipurduar District,3710,2449,1167,94,3710,0
13 Feb-19 Feb,13-02-2021,19-02-2021,710,36,Alipurduar District,4725,3390,1228,107,4080,645
20 Feb-26 Feb,20-02-2021,26-02-2021,710,36,Alipurduar District,8034,4985,2902,147,6065,1969
27 Feb-05 Mar,27-02-2021,05-03-2021,710,36,Alipurduar District,8107,2441,1938,3728,6762,1345
06 Mar-12 Mar,06-03-2021,12-03-2021,710,36,Alipurduar District,14000,2372,3657,7971,11326,2674
13 Mar-19 Mar,13-03-2021,19-03-2021,710,36,Alipurduar District,17873,3087,4975,9811,14230,3643
20 Mar-26 Mar,20-03-2021,26-03-2021,710,36,Alipurduar District,25994,3641,8859,13494,21681,4313
27 Mar-02 Apr,27-03-2021,02-04-2021,710,36,Alipurduar District,17365,1143,8047,8175,15206,2159
03 Apr-09 Apr,03-04-2021,09-04-2021,710,36,Alipurduar District,37321,1501,22978,12842,32314,5007
10 Apr-16 Apr,10-04-2021,16-04-2021,710,36,Alipurduar District,7698,833,4201,2664,5104,2594
17 Apr-23 Apr,17-04-2021,23-04-2021,710,36,Alipurduar District,22234,1633,10525,10076,11198,11036
24 Apr-30 Apr,24-04-2021,30-04-2021,710,36,Alipurduar District,14183,1291,6036,6856,4963,9220
